id,日期,录播来源,录播片段编号,起始时间点,结束时间点,文件名,文件类型,歌名,版本号,版本备注,中文歌名,原曲艺术家,演唱者,演唱状态,语言,备注,参考路灯man,有没有音频,切片源,有没有第二版本
A000062,2021.01.30,BV1Rv411Y7ih,,0,188064, A Little Love 2.0,mp3,A Little Love,2.0,,,冯曦妤,嘉然,完整, 英语,,,TRUE,,FALSE
A000063,2021.01.30,BV1sh41117ML,,0,217248, 后会无期 2.0,mp3,后会无期,2.0,,,"汪苏泷,徐良",乃琳,完整, 汉语,,,TRUE,,FALSE
A000064,2021.01.30,BV1sh41117ML,,0,212832, 后会无期,mp3,后会无期,,,,"汪苏泷,徐良",乃琳,完整, 汉语,,,TRUE,,FALSE
A000065,2021.01.30,BV1sh41117ML,,0,313752, 水星记 3.0,mp3,水星记,3.0,,,郭顶,乃琳,完整, 汉语,,,TRUE,,FALSE
A000066,2021.01.31,BV1Th41117Ag,,0,231720, 有点甜 2.0,mp3,有点甜,2.0,,,"汪苏泷,BY2","向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000067,2021.01.31,BV1Th41117Ag,,0,216912, 有点甜,mp3,有点甜,,,,慕灼,"向晚,乃琳",完整, 汉语,,,TRUE,,FALSE
A000068,2021.02.04,BV1sU4y1x7fb,,0,221880, 后会无期 3.0,mp3,后会无期,3.0,,,"汪苏泷,徐良",乃琳,完整, 汉语,,,TRUE,,FALSE
A000069,2021.02.05,BV15X4y1572x,,0,175176, 新年快乐,mp3,新年快乐,,,,,A-SOUL,完整, 汉语,,,TRUE,,FALSE
A000070,2021.02.05,BV15X4y1572x,,0,221328, 痒,mp3,痒,,,,黄龄,珈乐,完整, 日语,,,TRUE,,FALSE
A000071,2021.02.05,BV15X4y1572x,,0,240168, 霜雪千年,mp3,霜雪千年,,,,"双笙 (陈元汐),封茗囧菌",乃琳,完整, 汉语,,,TRUE,,FALSE
A000072,2021.02.06,BV1dK4y1D7hd,,0,258432, 宠爱,mp3,宠爱,,,,TFBOYS,乃琳,完整, 汉语,,,TRUE,,FALSE
A000073,2021.02.06,BV1dK4y1D7hd,,0,234840, 岁月神偷,mp3,岁月神偷,,,,金玟岐,乃琳,完整, 汉语,,,TRUE,,FALSE
A000074,2021.02.06,BV1dK4y1D7hd,,0,288600, 我喜欢 3.0,mp3,我喜欢,3.0,,,梁静茹,乃琳,完整, 汉语,,,TRUE,,FALSE
A000075,2021.02.06,BV1dK4y1D7hd,,0,234384, 棠梨煎雪 3.0,mp3,棠梨煎雪,3.0,,,银临,乃琳,完整, 汉语,,,TRUE,,FALSE
A000076,2021.02.14,BV1NV411q7Yg,,0,286752, 七里香,mp3,七里香,,,,周杰伦,"珈乐,嘉然",完整, 汉语,,,TRUE,,FALSE
A000077,2021.02.14,BV18z4y1U723,,0,233088, 万有引力 3.0,mp3,万有引力,3.0,,,汪苏泷,嘉然,完整, 汉语,,,TRUE,,FALSE
A000078,2021.02.14,BV1AV411q7D5,,0,76776, 云烟成雨,mp3,云烟成雨,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000079,2021.02.14,BV1AV411q7D5,,0,141648, 好想你 2.0,mp3,好想你,2.0,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000080,2021.02.14,BV1Ph411y7gm,,0,246960, 小手拉大手 3.0,mp3,小手拉大手,3.0,,,梁静茹,乃琳,完整, 汉语,,,TRUE,,FALSE
A000081,2021.02.14,BV1AV411q7D5,,0,189456, 彩虹,mp3,彩虹,,,,周杰伦,向晚,完整, 汉语,,,TRUE,,FALSE
A000082,2021.02.14,BV1Ph411y7gm,,0,238464, 我喜欢 4.0,mp3,我喜欢,4.0,,,上海彩虹室内合唱团,乃琳,完整, 汉语,,,TRUE,,FALSE
A000083,2021.02.14,BV1NV411q7Yg,,0,253800, 春风十里,mp3,春风十里,,,,宋佳,珈乐,完整, 汉语,,,TRUE,,FALSE
A000084,2021.02.14,BV18z4y1U723,,0,151560, 爱你[陈芳语],mp3,爱你,,陈芳语,,,"向晚,嘉然",完整, 汉语,,,TRUE,,FALSE
A000085,2021.02.14,BV1AV411q7D5,,0,97296, 说爱你,mp3,说爱你,,,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000086,2021.02.15,BV1AV411q7D5,,0,282624, Wherever You Are,mp3,Wherever You Are,,,,ONE OK ROCK (ワンオクロック),向晚,完整, 日语,,,TRUE,,FALSE
A000087,2021.02.15,BV1Ph411y7gm,,0,241608, 亲爱的旅人啊,mp3,亲爱的旅人啊,,,,周深,乃琳,完整, 汉语,,,TRUE,,FALSE
A000088,2021.02.15,BV18z4y1U723,,0,157392, 小城谣,mp3,小城谣,,,,,嘉然,完整, 汉语,,,TRUE,,FALSE
A000089,2021.02.15,BV1wb4y1R731,,0,297960, 暁の車,mp3,暁の車,,,,南里侑香 (なんり ゆうか),贝拉,完整, 日语,,,TRUE,,FALSE
A000090,2021.02.15,BV1NV411q7Yg,,0,237048, 棠梨煎雪 4.0,mp3,棠梨煎雪,4.0,,,银临,"珈乐,乃琳",完整, 汉语,,,TRUE,,FALSE
A000091,2021.02.15,BV1Ph411y7gm,,0,314640, 水星记 3.5,mp3,水星记,3.5,,,郭顶,乃琳,完整, 汉语,,,TRUE,,FALSE
A000092,2021.02.15,BV1Ph411y7gm,,0,316632, 水星记 4.0,mp3,水星记,4.0,,,郭顶,乃琳,完整, 汉语,,,TRUE,,FALSE
A000093,2021.02.15,BV1AV411q7D5,,0,227472, 水母之歌 1.0,mp3,水母之歌,1.0,,,灵莫今天吃什么,向晚,完整, 汉语,,,TRUE,,FALSE
A000094,2021.02.15,BV18z4y1U723,,0,178080, 爱你[陈芳语] 2.0,mp3,爱你,2.0,陈芳语,,,向晚,完整, 汉语,,,TRUE,,FALSE
A000095,2021.02.15,BV1wb4y1R731,,0,175920, 素敵だね,mp3,素敵だね,,,绚烂无比,,贝拉,完整, 日语,,,TRUE,,FALSE
A000096,2021.02.15,BV1NV411q7Yg,,0,200112, 芒种,mp3,芒种,,,,"音阙诗听,赵方婧",珈乐,完整, 汉语,,,TRUE,,FALSE
A000097,2021.02.15,BV1AV411q7D5,,0,159312, 鱼,mp3,鱼,,,,FuGa pang,向晚,完整, 汉语,,,TRUE,,FALSE
A000098,2021.02.16,BV1AV411q7D5,,0,212424, A Thousand Years,mp3,A Thousand Years,,,,,向晚,完整, 英语,,,TRUE,,FALSE
